city,hotel_name,score,url,longitude_x,latitude_x,description,id_city,latitude_y,longitude_y,Average probability of precipitation,average cloud percentage,average daily temperatures
Mont Saint Michel,L'Aurore de la Baie,9.7,https://www.booking.com/hotel/fr/l-39-aurore-de-la-baie.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=52&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,-1.45251249,48.60980731,"Providing garden views, L'Aurore de la Baie in Huisnes-sur-Mer provides accommodation, a shared lounge, a garden and a terrace. Both WiFi and private parking are available at the bed and breakfast free of charge. L'Aurore de la Baie offers a seating area with a flat-screen TV and a private bathroom with a hairdryer, free toiletries and shower. Some units also have a kitchen equipped with a dishwasher, a microwave, and a fridge. Guests at the accommodation can enjoy a continental breakfast. Mont Saint Michel Abbey is 12 km from L'Aurore de la Baie, while Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 19 km away. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 57 km from the bed and breakfast.   Couples particularly like the location — they rated it 9.8 for a two-person trip.    L'Aurore de la Baie has been welcoming Booking.com guests since 27 Aug 2020.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,le coin des hirondelles,9.6,https://www.booking.com/hotel/fr/le-coin-des-hirondelles.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=42&sr_order=popularity&nflt=ht_id&srpvid=d527458a18f4003c&srepoch=1665309206&from=searchresults#hotelTmpl,-1.474069,48.6028643,"Featuring free bikes, a garden, and barbecue facilities, le coin des hirondelles provides accommodation in Pontorson with free WiFi and garden views. The property is 46 km from Granville Train Station and 47 km from Port of Houle. The holiday home is equipped with 2 bedrooms, a kitchen with dishwasher and microwave, and 2 bathrooms with a hot tub, bathrobes and a washing machine. A flat-screen TV is provided. At the holiday home guests are welcome to take advantage of a hot tub. Guests at le coin des hirondelles can enjoy hiking and fishing nearby, or make the most of the sun terrace. Mont Saint Michel Abbey is 10 km from the accommodation, while Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 22 km away. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 56 km from le coin des hirondelles.    le coin des hirondelles has been welcoming Booking.com guests since 19 Jun 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Le Canari,9.6,https://www.booking.com/hotel/fr/le-canari.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&nflt=ht_id&srpvid=d527458a18f4003c&srepoch=1665309206&from=searchresults#hotelTmpl,-1.4567376,48.6100841,"Le Canari, a property with a terrace, is situated in Huisnes-sur-Mer, 19 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, 44 km from Granville Train Station, as well as 45 km from Champrepus Zoo. The accommodation is 12 km from Mont Saint Michel Abbey, and guests benefit from private parking available on site and free WiFi. This holiday home has 2 bedrooms, a kitchen with a dishwasher and a microwave, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. Granville's Marina is 45 km from the holiday home, while Museum of Modern Art Richard Anacreon is 46 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 58 km from Le Canari.    Le Canari has been welcoming Booking.com guests since 24 Sept 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Le Beauvoir,9.6,https://www.booking.com/hotel/fr/le-beauvoir-beauvoir.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&nflt=ht_id&srpvid=d527458a18f4003c&srepoch=1665309206&from=searchresults#hotelTmpl,-1.51309848,48.59771334,"You're eligible for a Genius discount at Le Beauvoir! To save at this property, all you have to do is sign in. Le Beauvoir is located just 4 kilometres from Mont Saint Michel and a 20-minute drive from Cancale. It offers free private parking and a restaurant. Each guest room at the Beauvoir has a private bathroom and a TV with satellite channels. Guests can enjoy traditional French cuisine at the restaurant, and relax in the bar with an evening drink. A buffet breakfast is served every morning. Le Beauvoir is 4 km from Pontorson and is in close proximity to Alligator Bay.   Couples particularly like the location — they rated it 8.9 for a two-person trip.    Le Beauvoir has been welcoming Booking.com guests since 3 Mar 2010.  ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Villa Jacuzzi au pied de la Baie du Mont St Michel,9.5,https://www.booking.com/hotel/fr/villa-jacuzzi-au-pied-de-la-baie-du-mont-st-michel-genets.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=71&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from=searchresults#hotelTmpl,-1.46922407,48.68384448,"Boasting a hot tub, Villa Jacuzzi au pied de la Baie du Mont St Michel is located in Genêts. Situated 10 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, the property features a garden and free private parking. The holiday home has 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a balcony with garden views. For added convenience, the property can provide towels and bed linen for an extra charge. The holiday home offers a hot tub. Villa Jacuzzi au pied de la Baie du Mont St Michel provides a terrace. Granville Train Station is 25 km from the accommodation, while Champrepus Zoo is 26 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 80 km from Villa Jacuzzi au pied de la Baie du Mont St Michel.    Villa Jacuzzi au pied de la Baie du Mont St Michel has been welcoming Booking.com guests since 25 May 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,A L'Ombre du Mont St Michel,9.4,https://www.booking.com/hotel/fr/a-l-ombre-du-mont-st-michel.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&nflt=ht_id&srpvid=d527458a18f4003c&srepoch=1665309206&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,-1.46560172,48.61591354,"Offering an outdoor swimming pool and a garden, A L'Ombre du Mont St Michel is a B&B located in the countryside of Huisnes-sur-Mer, just 2 km from the Mont Saint-Michel. Free WiFi access is available throughout. Rooms come equipped with a fridge and microwave. Each has a terrace opening onto the garden, a desk and a seating area. The private bathroom is fitted with a bath or shower and a hairdryer. Breakfast is included in the rate and served each morning in the guests rooms. It features homemade crepes, cold cuts, cheese, gingerbread, jam and fruits. Eggs are also available, upon prior reservation. Guests can can relax on the shared lounge. The property offers free private parking.   Couples particularly like the location — they rated it 9.4 for a two-person trip.    A L'Ombre du Mont St Michel has been welcoming Booking.com guests since 12 Sept 2014.  ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Chambres d'Hôtes Les Vieilles Digues,9.3,https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&nflt=ht_id&srpvid=1d26458ad8f101a5&srepoch=1665309206&from=searchresults#hotelTmpl,-1.51159912,48.6041875,"Set in a renovated Breton-style house, this family-run B&B is located in Beauvoir, 3 km from Mont-Saint-Michel. With a 3000-m2 flowered park, it features en suite rooms with antique furniture and free Wi-Fi. All with a private entrance, the elegant rooms at Les Vieilles Digues have free toiletries. Those on the ground floor include French doors with direct access to the patio, which has deck chairs. The breakfast includes hot drinks, orange juice, yogurt, cheese and cereals and fresh baguettes are delivered daily by the local baker. The owners are at guests’ disposal for advising good restaurants nearby. Guests are invited to have a walk or a ride along Le Couesnon River, which is 200 m from Les Vieilles Digues. Saint-Malo and Cancale are a 45-minute drive and Pontorson Train Station is 5 km away. Free private parking is possible on site.   Couples particularly like the location — they rated it 9.7 for a two-person trip.    Chambres d'Hôtes Les Vieilles Digues has been welcoming Booking.com guests since 28 Mar 2012.  ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Village de Gîtes de l'Anse de Moidrey,9.3,https://www.booking.com/hotel/fr/village-de-gites-de-l-39-anse-de-moidrey.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=66&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from=searchresults#hotelTmpl,-1.51653077,48.57998825,"You're eligible for a Genius discount at Village de Gîtes de l'Anse de Moidrey! To save at this property, all you have to do is sign in. Offering an indoor swimming pool and a tennis court, Village de Gîtes de l’Anse de Moidrey is located in Moidrey. Located 5 km from Mont-Saint-Michel, it offers a self-catering accommodation. Each house features a living room with a flat-screen TV. A shower is provided in the bathroom. The kitchen is equipped with a fridge, a stove and a toaster. An oven, a dishwasher and kitchenware are also provided. Guests can enjoy their meals in the dining area. Village de Gîtes de l’Anse de Moidrey is a 5-minute drive from the centre of Pontorson and right next to the GR 34 hiking trail. Guests can play table tennis on site and a mini golf is available.   Couples particularly like the location — they rated it 8.7 for a two-person trip.    Village de Gîtes de l'Anse de Moidrey has been welcoming Booking.com guests since 14 May 2014.  ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Les Voiles Vertes,9.3,https://www.booking.com/hotel/fr/les-voiles-vertes.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=72&sr_order=popularity&nflt=ht_id&srpvid=2382458adae80340&srepoch=1665309206&from=searchresults#hotelTmpl,-1.51269878,48.5759335,"Set in Moidrey, 7.5 km from Mont Saint Michel Abbey, Les Voiles Vertes offers accommodation with a garden, free WiFi, a 24-hour front desk, and luggage storage space. Boasting free private parking, the bed and breakfast is in an area where guests can engage in activities such as hiking and cycling. Towels and bed linen are offered. The bed and breakfast offers a continental or vegetarian breakfast. Les Voiles Vertes offers a barbecue. A bicycle rental service is available at the accommodation. Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 25 km from Les Voiles Vertes, while Port of Houle is 41 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo, 51 km from the bed and breakfast, and the property offers a paid airport shuttle service.   Couples particularly like the location — they rated it 9.0 for a two-person trip.    Les Voiles Vertes has been welcoming Booking.com guests since 28 Oct 2014.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,La Jacotière,9.3,https://www.booking.com/hotel/fr/la-jacotia-re.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id&srpvid=1d26458ad8f101a5&srepoch=1665309206&from=searchresults#hotelTmpl,-1.50431424,48.61411436,"Situated in Ardevon, La Jacotière is a B&B set in a renovated farm with a garden and a furnished terrace offering views of the Mont Saint-Michel, just 3 km away. Free Wi-Fi is provided. The rooms offer a TV, a desk and wardrobe and a private bathroom with shower. The studio also has a kitchen equipped with microwave and stove. Breakfast is served in the large dining room. Supermarkets, bars and restaurants serving traditional and international cuisine can be found a 5-minute walk away. At the B&B, guests have access to guides on excursions to do in the area. There are shuttle services nearby to discover the Mont Saint-Michel. Pontorson Train Station is 8.5 km away, while Saint-Malo and Granville are 46 km away.   Couples particularly like the location — they rated it 9.9 for a two-person trip.    La Jacotière has been welcoming Booking.com guests since 16 Apr 2013.  ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
Mont Saint Michel,Etoile des Grèves,9.3,https://www.booking.com/hotel/fr/etoile-des-greves.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=ht_id&srpvid=1d26458ad8f101a5&srepoch=1665309206&from=searchresults#hotelTmpl,-1.491524,48.615509,"Situated in Ardevon in the Lower Normandy region, Etoile des Grèves features accommodation with free WiFi and free private parking. There is a fully equipped private bathroom with shower and a hairdryer. Guests at the bed and breakfast can enjoy a continental or a buffet breakfast. Etoile des Grèves offers a terrace. After a day of hiking or cycling, guests can relax in the garden or in the shared lounge area. Mont Saint Michel Abbey is 8.1 km from the accommodation, while Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 21 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 57 km from Etoile des Grèves.   Couples particularly like the location — they rated it 9.8 for a two-person trip.    Etoile des Grèves has been welcoming Booking.com guests since 19 Jan 2018.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.53625,71.375,16.407500000000002
